iterations, matrix_dim, etime, flops, cores
3376, 1024, 0.541317, 32697962339.996716, 2
3376, 1024, 0.517455, 34205801238.755062, 2
3376, 1024, 0.516071, 34297534409.025120, 2
3376, 1024, 0.534916, 33089238085.979858, 2
3376, 1024, 0.523832, 33789388353.517925, 2
3376, 1024, 0.526737, 33603036961.519695, 2
3376, 1024, 0.525179, 33702723985.536362, 2
3376, 1024, 0.542753, 32611451028.368340, 2
3376, 1024, 0.518375, 34145093571.256329, 2
3376, 1024, 0.517334, 34213801683.245255, 2
3376, 1024, 0.532790, 33221274573.471725, 2
3376, 1024, 0.535741, 33038283200.277744, 2
3376, 1024, 0.523577, 33805844947.352543, 2
3376, 1024, 0.525644, 33672909573.779972, 2
3376, 1024, 0.528338, 33501211118.639965, 2
3376, 1024, 0.524834, 33724878494.914581, 2
3376, 1024, 0.541216, 32704064329.214211, 2
3376, 1024, 0.539785, 32790764619.246555, 2
3376, 1024, 0.555421, 31867651529.200375, 2
3376, 1024, 0.532102, 33264229189.140430, 2
3376, 1024, 0.520936, 33977231137.798119, 2
3376, 1024, 0.523120, 33835377886.526989, 2
3376, 1024, 0.523214, 33829299063.098469, 2
3376, 1024, 0.525172, 33703173208.015663, 2
3376, 1024, 0.519617, 34063479216.422867, 2
3376, 1024, 0.527334, 33564994633.382259, 2
3376, 1024, 0.527355, 33563658029.221302, 2
3376, 1024, 0.532223, 33256666622.825394, 2
3376, 1024, 0.536657, 32981891375.683167, 2
3376, 1024, 0.530490, 33365309204.697544, 2
3376, 1024, 0.515567, 34331062461.328983, 2
3376, 1024, 0.521878, 33915901570.865223, 2
3376, 1024, 0.528901, 33465550036.774372, 2
3376, 1024, 0.533661, 33167053391.572556, 2
3376, 1024, 0.527301, 33567095226.445614, 2
3376, 1024, 0.530433, 33368894620.055695, 2
3376, 1024, 0.557834, 31729802916.279758, 2
3376, 1024, 0.533236, 33193488211.598621, 2
3376, 1024, 0.528195, 33510281013.640797, 2
3376, 1024, 0.529591, 33421948031.594196, 2
3376, 1024, 0.544088, 32531434032.730000, 2
3376, 1024, 0.531301, 33314379005.497822, 2
3376, 1024, 0.532829, 33218842968.381977, 2
3376, 1024, 0.536275, 33005385072.956974, 2
3376, 1024, 0.534424, 33119700612.247952, 2
3376, 1024, 0.548866, 32248240699.915829, 2
3376, 1024, 0.545123, 32469668093.256016, 2
3376, 1024, 0.525762, 33665352155.538059, 2
3376, 1024, 0.534914, 33089361803.953533, 2
3376, 1024, 0.534931, 33088310230.665268, 2
